name,wikidata_id,wikidata_url
Aldi,Q125054,https://www.wikidata.org/wiki/Q125054
Allendale Co-operative Society,Q28888596,https://www.wikidata.org/wiki/Q28888596
Asda,Q297410,https://www.wikidata.org/wiki/Q297410
Booths,Q4943949,https://www.wikidata.org/wiki/Q4943949
Budgens,Q4985016,https://www.wikidata.org/wiki/Q4985016
Central England Co-operative,Q16986583,https://www.wikidata.org/wiki/Q16986583
Channel Islands Co-operative Society,Q5072404,https://www.wikidata.org/wiki/Q5072404
Chelmsford Star Co-operative Society,Q5089972,https://www.wikidata.org/wiki/Q5089972
Clydesbank Co-operative,Q28888493,https://www.wikidata.org/wiki/Q28888493
Coniston Co-operative Society,Q28888762,https://www.wikidata.org/wiki/Q28888762
Costco,Q715583,https://www.wikidata.org/wiki/Q715583
Dansk Supermarked,Q492820,https://www.wikidata.org/wiki/Q492820
East of England Co-operative,Q5329759,https://www.wikidata.org/wiki/Q5329759
Farmfoods,Q5435841,https://www.wikidata.org/wiki/Q5435841
Grosmont Co-operative Society,Q28888851,https://www.wikidata.org/wiki/Q28888851
Heart of England Co-operative,Q5692254,https://www.wikidata.org/wiki/Q5692254
Heron,Q18789,https://www.wikidata.org/wiki/Q18789
Iceland,Q721810,https://www.wikidata.org/wiki/Q721810
Jack Fultons,Q6112633,https://www.wikidata.org/wiki/Q6112633
Langdale Co-operative Society,Q28889002,https://www.wikidata.org/wiki/Q28889002
Lidl,Q151954,https://www.wikidata.org/wiki/Q151954
Lincolnshire Co-operative,Q6551231,https://www.wikidata.org/wiki/Q6551231
Makro,Q704606,https://www.wikidata.org/wiki/Q704606
Marks and Spencer,Q714491,https://www.wikidata.org/wiki/Q714491
Midcounties Co-operative,Q6841138,https://www.wikidata.org/wiki/Q6841138
Mike Greene,,
Morrisons,Q922344,https://www.wikidata.org/wiki/Q922344
Sainsburys,Q152096,https://www.wikidata.org/wiki/Q152096
Scottish Midland Co-operative,Q7435719,https://www.wikidata.org/wiki/Q7435719
Seaton Valley Co-operative Society,Q28889116,https://www.wikidata.org/wiki/Q28889116
Tamworth Co-operative Society,Q28888344,https://www.wikidata.org/wiki/Q28888344
Tesco,Q487494,https://www.wikidata.org/wiki/Q487494
The Co-operative Group,Q117202,https://www.wikidata.org/wiki/Q117202
The Penrith Co-operative,Q7164600,https://www.wikidata.org/wiki/Q7164600
The Radstock Co-operative Society,Q7281698,https://www.wikidata.org/wiki/Q7281698
The Southern Co-operative,Q7569773,https://www.wikidata.org/wiki/Q7569773
Waitrose,Q771734,https://www.wikidata.org/wiki/Q771734
Whole Foods Market,Q1809448,https://www.wikidata.org/wiki/Q1809448
Wooldale Co-operative Society,Q8033784,https://www.wikidata.org/wiki/Q8033784